site,year,month,value
CBA,1996,8,354.43
CBA,1996,9,355.90
CBA,1996,10,360.88
CBA,1996,11,364.17
CBA,1996,12,366.38
CBA,1997,1,367.78
CBA,1997,2,368.78
CBA,1997,3,370.15
CBA,1997,4,371.01
CBA,1997,5,370.22
CBA,1997,6,366.75
CBA,2000,12,374.34
CBA,2001,1,375.88
CBA,2001,2,376.69
CBA,2001,3,377.41
CBA,2001,4,378.56
CBA,2001,5,377.50
CBA,2001,6,371.89
CBA,2001,7,365.38
CBA,2001,8,361.56
CBA,2001,9,364.20
CBA,2001,10,370.11
CBA,2001,11,373.95
CBA,2001,12,375.90
CBA,2002,1,377.28
CBA,2002,2,378.13
CBA,2002,3,378.70
CBA,2002,4,378.90
CBA,2002,5,377.71
CBA,2002,6,372.93
CBA,2002,7,366.67
CBA,2002,8,364.90
CBA,2002,9,368.00
CBA,2002,10,372.69
CBA,2002,11,375.53
CBA,2002,12,377.40
CBA,2003,1,379.01
CBA,2003,2,380.19
CBA,2003,3,380.99
CBA,2003,4,382.13
CBA,2003,5,382.32
CBA,2003,6,378.49
CBA,2003,7,371.41
CBA,2003,8,367.46
CBA,2003,9,369.79
CBA,2003,10,375.04
CBA,2003,11,378.87
CBA,2003,12,380.91
CBA,2004,1,381.79
CBA,2004,2,382.58
CBA,2004,3,383.60
CBA,2004,4,384.43
CBA,2004,5,383.91
CBA,2004,6,379.37
CBA,2004,7,372.65
CBA,2004,8,369.24
CBA,2004,9,370.93
CBA,2004,10,376.70
CBA,2004,11,380.86
CBA,2004,12,382.63
CBA,2005,1,383.77
CBA,2005,2,384.72
CBA,2005,3,385.49
CBA,2005,4,385.59
CBA,2005,5,385.10
CBA,2005,6,381.73
CBA,2005,7,374.01
CBA,2005,8,370.08
CBA,2005,9,374.50
CBA,2005,10,380.55
CBA,2005,11,384.45
CBA,2005,12,385.85
CBA,2006,1,386.55
CBA,2006,2,387.58
CBA,2006,3,388.25
CBA,2006,4,389.09
CBA,2006,5,389.36
CBA,2006,6,385.44
CBA,2006,7,378.40
CBA,2006,8,372.63
CBA,2006,9,376.27
CBA,2006,10,382.85
CBA,2006,11,385.77
CBA,2006,12,387.47
CBA,2007,1,388.63
CBA,2007,2,389.73
CBA,2007,3,390.68
CBA,2007,4,389.83
CBA,2007,5,388.61
CBA,2007,6,384.62
CBA,2007,7,377.22
